term,coefficient,std_error,t_statistic,p_value,r2
(Intercept),0.13504893566994405,0.02368975466270995,5.700731712621939,4.671414566822319e-6,0.4488643454450203
log_gdp,-0.011414089064250456,0.00243405884863113,-4.689323378795681,7.019649194290602e-5,0.4488643454450203
