term,coefficient,std_error,t_statistic,p_value,r2
(Intercept),0.035329061487135285,0.02069053509843913,1.7074986857058359,0.0923597489890174,0.008303009063798328
log_gdp,-0.0019323835395597927,0.002580047310964992,-0.7489721337075175,0.45649548612674584,0.008303009063798328
